Date,Company,Open,High,Low,Close,Volume
2012-01-03,AAPL,12.290236813815701,12.383298903044636,12.278228491996373,12.345172882080078,302220800
2012-01-04,AAPL,12.308246086606042,12.448741028681424,12.286631911776338,12.411515235900879,260022000
2012-01-05,AAPL,12.456848056012088,12.564919747504229,12.388401422244165,12.549309730529785,271269600
2012-01-06,AAPL,12.601540669659137,12.691000232015654,12.585029633566581,12.680493354797363,318292800
2012-01-09,AAPL,12.77356349441118,12.841108316185561,12.648979130821512,12.66038703918457,394024400
2012-01-10,AAPL,12.785865849830179,12.78856812262401,12.653476928390274,12.70571231842041,258196400
2012-01-11,AAPL,12.688903677378107,12.694007615365475,12.587736363757902,12.685001373291016,215084800
2012-01-12,AAPL,12.67689416141687,12.69550625715163,12.570922733742126,12.650176048278809,212587200
2012-01-13,AAPL,12.599443970065446,12.621958371191385,12.568222333127002,12.602745056152344,226021600
2012-01-17,AAPL,12.734533741116504,12.788270581470396,12.697308744390709,12.749544143676758,242897200
2012-01-18,AAPL,12.817387785294754,12.892737991655085,12.79757485828217,12.88193130493164,276791200
2012-01-19,AAPL,12.913150912334615,12.949774682792013,12.803877612054444,12.841102600097656,261738400
2012-01-20,AAPL,12.833298730542806,12.833598537748195,12.600942535002252,12.617453575134277,413974400
2012-01-23,AAPL,12.688601934661136,12.86211896566685,12.677494638608731,12.830897331237793,306062400
2012-01-24,AAPL,12.7615489737498,12.7615489737498,12.594937158227753,12.62075424194336,547638000
2012-01-25,AAPL,13.64234110265952,13.642640909878182,13.320825917469554,13.408784866333008,958314000
2012-01-26,AAPL,13.459820832533882,13.47272857675306,13.303116232425712,13.347846031188965,323985200
2012-01-27,AAPL,13.339141960121818,13.463425714831347,13.322031300006525,13.427401542663574,299709200
2012-01-30,AAPL,13.380263983166698,13.626129121603269,13.370658128907822,13.599411010742188,379341200
2012-01-31,AAPL,13.676861792718126,13.756414904915324,13.60121098352552,13.703579902648926,391683600
2012-02-01,AAPL,13.761522053751778,13.778933318358819,13.675664959623205,13.694876670837402,270046000
2012-02-02,AAPL,13.68617043685904,13.724295653631906,13.628532099255958,13.662755012512207,186796400
2012-02-03,AAPL,13.728195478966073,13.809249216818495,13.675960099723852,13.799642562866211,286599600
2012-02-06,AAPL,13.760620585437774,13.95875307469523,13.755217642543197,13.92843246459961,249412800
2012-02-07,AAPL,13.966858266812114,14.101949466911,13.946743929260451,14.07433032989502,316223600
2012-02-08,AAPL,14.124463484149937,14.31328910744769,14.100446843914574,14.309988021850586,407890000
2012-02-09,AAPL,14.432476172207133,14.912498162905433,14.426472009447654,14.805026054382324,884214800
2012-02-10,AAPL,14.73867982436099,14.938612802558454,14.666330074895315,14.812528610229492,631302000
2012-02-13,AAPL,14.995952052180092,15.125039133137973,14.922702877422234,15.088114738464355,517216000
2012-02-14,AAPL,15.149954492449558,15.297052449650261,15.070101544718819,15.294051170349121,460398400
2012-02-15,AAPL,15.438147772812615,15.799288887638708,14.916697942252151,14.940114974975586,1506120000
2012-02-16,AAPL,14.754890273335551,15.156859690807595,14.608691737866552,15.07640552520752,944552000
2012-02-17,AAPL,15.103423164045813,15.243317727713181,15.019066695660214,15.07370376586914,535805200
2012-02-21,AAPL,15.216594810239663,15.455855369567871,15.133739007605683,15.455855369567871,605595200
2012-02-22,AAPL,15.402716792493996,15.47506490442398,15.28233540853852,15.40151596069336,483302400
2012-02-23,AAPL,15.46276154193006,15.545317551216721,15.295249462262959,15.502087593078613,568027600
2012-02-24,AAPL,15.600558071659398,15.697522487636089,15.569637838085878,15.682812690734863,415072000
2012-02-27,AAPL,15.649788015308788,15.865633206567113,15.498787766527135,15.783378601074219,547582000
2012-02-28,AAPL,15.849424516830027,16.073074340820312,15.786081810152998,16.073074340820312,600387200
2012-02-29,AAPL,16.257698127740497,16.4393204233641,16.08178018690511,16.284114837646484,952011200
2012-03-01,AAPL,16.456127291249018,16.457329726680083,16.17393814103947,16.34505271911621,683270000
2012-03-02,AAPL,16.338150490401866,16.41500055004048,16.28651470221851,16.366369247436523,431712400
2012-03-05,AAPL,16.373565957729657,16.435406384165137,15.790574203462624,16.00551986694336,809124400
2012-03-06,AAPL,15.720335957710203,16.02143703827887,15.496985962049223,15.918468475341797,810238800
2012-03-07,AAPL,16.114799164413192,16.144218751301217,15.709527120122752,15.931376457214355,798520800
2012-03-08,AAPL,16.05145344833639,16.300620468290038,15.974301999083366,16.270601272583008,516457200
